Timeperiod,CreepColony,SunkenColony,SporeColony,Extractor,SpawningPool,EvolutionChamber,HydraliskDen,Lair,Spire,QueensNest,Hive,GreaterSpire,NydusCanal,UltraliskCavern,DefilerMound,Zergling,Hydralisk,Lurker,Ultralisk,Defiler,Overlord,Mutalisk,Scourge,Queen,Guardian,Devourer
period37,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,3,4,3,1,4,0,3,0,0,0
period38,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,2,4,4,1,4,0,2,0,0,0
period39,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,3,3,4,1,4,0,1,0,0,0
period40,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,2,2,2,1,4,0,1,0,0,0
period41,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,3,1,2,2,1,4,0,1,0,0,0
period42,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,3,1,3,4,1,4,0,2,0,0,0
period43,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,3,2,3,4,1,4,0,2,0,0,0
period44,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,2,2,1,4,1,4,0,2,0,0,0
period45,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,1,2,1,4,1,4,0,3,0,0,0
period46,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,0,1,1,4,1,4,0,1,0,0,0
period47,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,2,1,0,4,0,4,0,1,0,0,0
period48,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,2,1,0,4,1,4,0,1,0,0,0
period49,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,2,1,0,4,1,4,0,1,0,0,0
period50,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,0,0,0,4,1,4,0,1,0,0,0
period51,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,1,0,0,4,1,3,0,1,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period10,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
period11,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0
period12,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0
period13,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,4,1,0,0,0
period14,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,4,4,2,0,0,0
period15,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,4,4,2,0,0,0
period16,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,4,4,1,0,0,0
period17,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0
period18,0,2,0,3,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4,4,2,0,0,0
period19,0,3,0,3,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,4,4,1,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
period10,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0
period11,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,3,0,2,0,0,0
period12,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0
period13,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0,0,0
period14,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,3,0,1,0,0,0
period15,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0
period16,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0
period17,0,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,4,0,2,0,0,0
period18,0,1,0,3,1,2,1,1,1,0,0,0,0,0,0,0,4,1,0,0,4,0,2,0,0,0
period19,0,1,0,3,1,3,1,1,1,0,0,0,0,0,0,0,4,2,0,0,4,0,2,0,0,0
period20,1,1,1,3,1,3,1,1,1,0,0,0,0,0,0,0,4,3,0,0,4,0,1,0,0,0
period21,1,2,1,3,1,3,1,1,1,0,0,0,0,0,0,0,4,3,0,0,4,0,1,0,0,0
period22,0,3,1,3,1,3,1,1,1,0,0,0,0,0,0,0,4,3,0,0,4,0,1,0,0,0
period23,2,3,1,3,1,3,1,1,1,0,0,0,0,0,0,0,4,3,0,0,4,0,1,0,0,0
period24,0,4,1,3,1,3,1,0,1,0,0,0,0,0,0,0,4,3,0,0,4,0,2,0,0,0
period25,0,4,1,3,1,3,1,0,1,0,0,0,0,0,0,3,4,3,0,0,4,0,1,0,0,0
period26,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,1,3,3,0,0,4,0,1,0,0,0
period27,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,3,4,3,0,0,4,0,2,0,0,0
period28,1,4,1,3,1,3,1,0,1,0,1,0,0,0,0,3,4,3,0,0,4,0,2,0,0,0
period29,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,3,4,4,0,0,4,0,4,0,0,0
period30,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,1,4,4,0,0,4,0,4,0,0,0
period31,1,4,1,3,1,3,1,0,1,0,1,0,0,0,0,4,4,4,0,0,4,0,4,0,0,0
period32,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,4,3,3,0,0,4,0,1,0,0,0
period33,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,4,0,4,0,0,4,0,2,0,0,0
period34,0,4,1,3,1,3,1,0,0,0,1,0,0,1,0,4,0,4,0,0,4,3,2,0,0,0
period35,0,4,1,3,1,3,1,0,0,0,1,0,0,1,0,3,0,4,0,0,4,4,4,0,0,0
period36,0,4,1,3,1,3,1,0,0,0,1,1,0,1,0,3,0,3,4,0,4,0,2,0,0,0
period37,0,4,1,3,1,3,1,0,0,0,1,1,0,1,0,4,3,3,4,0,4,0,2,0,3,0
period38,0,4,1,3,1,3,1,0,0,0,1,1,0,1,0,4,3,3,4,0,4,0,1,0,3,0
period39,2,4,1,3,1,3,1,0,0,0,1,1,0,1,0,4,3,3,4,0,4,0,2,0,0,0
period40,1,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,3,3,4,0,4,0,1,0,0,0
period41,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,3,3,4,0,4,0,1,0,0,0
period42,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,0,3,2,0,4,0,1,0,0,0
period43,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,3,3,0,4,0,3,0,0,0
period44,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,2,3,0,4,0,3,0,0,0
period45,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,3,4,0,4,0,3,0,0,0
period46,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,3,3,0,4,0,2,0,0,0
period47,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,3,4,0,4,0,4,0,0,0
period48,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,2,4,0,4,0,3,0,0,0
period49,0,4,2,4,1,3,1,0,0,0,1,1,0,1,0,4,4,2,4,0,4,0,3,0,0,0
period50,0,4,2,4,1,3,1,0,0,0,1,1,0,1,1,3,4,2,4,0,4,4,2,0,0,0
period51,0,4,2,4,1,3,1,0,0,0,1,1,0,1,1,1,2,2,3,0,4,1,2,0,0,0
period52,0,4,2,4,1,3,1,0,0,0,1,1,0,1,1,4,3,2,3,1,4,1,3,0,3,0
period53,0,4,2,4,1,3,1,0,0,0,1,1,0,1,1,4,4,2,4,1,4,1,2,0,3,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
period9,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0
period10,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0
period11,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,3,0,1,0,0,0
period12,0,3,0,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,3,0,1,0,0,0
period13,0,3,0,1,1,1,1,1,1,0,0,0,0,0,0,4,1,1,0,0,3,0,1,0,0,0
period14,0,3,0,3,1,3,1,1,1,0,0,0,0,0,0,2,0,2,0,0,4,0,1,0,0,0
